pasos,ep_rew_mean
3951500,615.85
3957309,618.45
3963497,648.1
3969908,678.7
3975211,662.15
3980964,652.6
3986770,642.5
3992357,618.55
3997392,617.55
4003287,601.85
4009529,626.15
4015108,617.65
4020807,625.85
4025432,595.75
4030634,580.1
4035376,543.8
4041356,587.3
4046444,580.55
4051581,593.0
4057290,595.55
4062647,563.6
4067953,568.45
4073787,585.4
4080098,621.2
4085660,647.35
4091506,656.65
4097829,675.45
4103605,666.25
4109259,658.4
4114974,660.65
4120560,635.25
4126842,650.5
4132475,665.4
4137612,630.7
4143163,649.0
4148220,578.2
4153944,599.05
4159378,600.6
4165646,635.5
4171602,670.5
4176900,653.2
4182822,664.1
4188312,634.15
4193895,619.5
4199646,646.1
4204920,640.1
4211020,653.2
4216350,639.4
4221922,621.85
4227547,620.15
4233443,625.1
4239134,636.45
4244372,636.65
4250033,624.65
4256086,627.05
4260929,590.5
4266936,627.75
4273083,641.2
4278634,663.35
4284210,659.9
4289380,632.3
4294631,614.85
4300579,610.6
4306396,615.05
4311620,615.0
4317166,609.15
4323118,632.55
4328544,637.0
4333778,635.55
4340244,656.85
4345932,658.2
4352604,691.65
4358510,696.25
4364195,673.95
4370147,669.15
4375518,633.9
4381522,656.85
4387560,662.2
4392904,645.65
4398633,645.9
4404227,630.85
4410350,643.35
4416736,683.55
4422258,692.3
4427986,690.85
4433966,670.3
4439717,646.95
4445523,651.35
4451551,669.95
4457415,653.6
4463133,668.05
4468476,653.6
4474856,643.3
4480608,659.6
4487708,718.6
4493225,713.35
4499277,704.1
4504631,668.75
4509928,627.45
4516765,669.6
4522587,694.8
4528324,721.5
4534787,729.1
4540855,701.35
4546229,680.25
4551600,663.2
4557557,662.15
4564129,678.2
4569720,691.7
4575225,677.15
4581196,668.9
4586551,645.15
4592172,677.45
4598733,700.85
4604827,705.5
4610671,695.75
4616324,665.3
4622489,670.6
4629285,698.75
4634771,708.85
4640081,672.25
4645444,640.2
4650951,618.0
4656971,637.4
4662748,660.25
4668180,672.0
4673763,648.15
4679080,628.7
4685048,632.95
4690960,626.95
4697336,670.55
4702490,644.7
4708025,646.9
4713161,614.7
4719184,625.05
4725175,655.55
4730811,677.0
4736931,685.35
4742933,659.5
4748337,657.25
4754269,684.15
4759635,638.7
4765148,636.95
4770146,617.0
4775841,620.55
4782226,662.05
4787735,683.3
4794027,709.35
4800008,679.35
4805997,673.75
4811814,665.95
4817729,676.9
4823575,671.25
4829444,675.2
4834386,639.0
4840704,639.85
4846537,661.2
4851694,648.3
4856783,620.1
4862509,632.35
4868013,616.4
4873944,647.25
4879593,644.75
4884565,623.75
4890117,606.15
4895985,642.0
4901926,648.6
4907380,646.45
4913378,663.6
4918782,648.1
4924959,642.8
4931274,670.3
4937340,691.35
4943193,701.3
4949635,703.8
4955601,716.4
4960548,670.85
4966497,648.45
4971815,643.4
4978097,656.85
4984147,668.45
4989452,650.0
4995182,638.2
5000977,640.25
5006477,634.65
5011587,632.0
5016972,629.8
5022665,645.65
5028574,663.15
5033681,648.45
5039495,663.5
5044334,615.8
5050244,632.85
5055739,618.3
5061704,633.45
5068246,672.6
5073654,692.65
5079121,692.3
5084474,659.25
5089641,644.2
5096202,654.9
5102367,669.9
5108156,693.85
5113109,670.35
5118795,654.25
5124204,644.7
5130146,632.75
5135877,646.0
5142229,674.55
5147695,661.75
5153454,646.9
5158681,619.0
5163947,623.7
5169718,627.5
5176125,652.6
5182339,679.65
5188717,724.45
5194393,705.0
5200212,674.4
5205729,662.25
5211719,645.8
5217381,662.65
5223095,664.85
5228696,643.05
5234528,659.05
5241040,689.7
5247302,698.8
5253520,726.45
5259681,711.6
5265494,708.55
5271383,706.3
5277567,677.55
5282842,658.35
5288647,652.75
5294098,625.8
5299766,623.95
5305419,628.1
5310429,602.6
5316025,631.55
5321534,606.0
5328044,640.55
5333571,638.8
5339730,675.15
5346297,708.4
5351817,703.3
5358093,714.35
5363803,681.9
5369168,651.3
5374739,639.8
5380060,621.45
5385936,634.8
5392114,666.4
5397876,683.85
5404064,702.8
5410212,701.95
5416162,702.8
5422248,714.25
5428059,710.6
5434087,697.25
5440196,694.55
5446324,704.45
5452169,697.75
5457662,688.6
5463334,685.4
5469115,685.3
5474378,658.75
5480490,676.3
5485668,651.4
5490847,612.9
5497335,654.05
5503415,641.25
5509839,702.75
5515343,693.35
5521075,666.65
5527091,659.1
5533071,640.85
5539572,705.75
5546227,730.95
5552512,760.85
5558705,746.25
5563802,694.95
5569694,665.1
5575698,639.95
5581635,641.7
5586981,650.0
5592345,636.1
5597765,625.6
5603524,643.05
5609142,649.95
