pasos,ep_rew_mean
1878357,580.85
1883428,584.15
1888109,572.5
1893433,563.05
1898617,573.35
1903000,570.45
1908245,574.75
1914069,609.0
1919629,597.6
1924730,616.25
1930004,621.4
1935055,611.95
1940226,623.45
1945437,613.45
1950781,605.4
1956402,595.7
1960720,577.6
1966423,580.75
1971827,592.35
1977575,623.15
1983374,637.05
1988875,662.1
1993472,637.8
1998714,611.55
2003274,597.6
2008492,588.9
2013622,600.85
2018430,607.75
2023224,600.85
2028506,602.55
2034287,619.9
2039464,624.3
2044632,635.35
2049718,619.2
2054478,605.45
2059549,584.9
2065272,606.95
2070605,617.8
2076101,628.35
2081248,634.45
2086127,613.4
2091375,625.85
2096449,626.65
2101626,612.75
2106747,624.1
2111930,614.7
2117030,620.3
2121738,618.6
2127740,636.95
2132740,629.2
2137567,611.25
2142872,625.05
2147468,588.1
2153512,640.2
2158338,646.65
2163501,638.35
2168952,660.1
2173372,603.55
2178858,603.05
2184062,607.75
2189513,609.8
2194508,604.5
2201208,646.65
2205775,638.25
2211009,630.75
2216213,644.2
2221340,609.0
2226999,640.45
2232227,645.8
2237346,644.45
2242432,642.4
2247738,641.2
2253534,653.3
2258931,662.9
2264075,667.2
2269174,634.7
2274004,620.0
2279566,623.55
2284009,606.95
2289146,606.15
2294816,628.3
2300698,641.8
2305701,649.7
2310618,641.85
2315667,625.45
2321311,614.05
2327042,641.0
2332486,640.55
2336996,631.6
2342273,610.25
2348421,637.4
2352780,623.5
2357848,622.8
2362215,615.3
2366902,590.45
2372623,623.8
2378442,649.45
2383560,663.4
2389498,690.85
2395273,696.1
2400687,677.55
2405845,690.95
2411870,684.8
2417655,692.1
2423015,705.5
2428185,706.55
2433511,690.6
2439116,663.45
2444090,660.75
2449970,676.6
2454769,655.15
2459888,654.85
2465596,646.95
2470292,607.75
2475647,609.15
2480670,616.15
2486112,649.1
2491901,677.5
2497340,704.7
2503176,705.25
2508981,713.85
2514783,715.0
2520217,702.05
2525943,722.3
2531334,677.2
2536964,692.35
2543173,723.2
2549105,726.65
2554453,737.9
2560240,732.55
2565324,698.35
2571330,708.5
2577729,724.75
2583203,717.3
2588640,716.9
2593765,687.45
2599332,672.95
2604874,682.9
2609723,669.35
2614895,654.7
2620252,664.35
2626241,694.6
2632000,709.8
2637794,738.05
2643448,722.7
2648454,691.55
2654464,718.75
2660698,715.1
2665783,691.55
2672404,747.6
2678093,730.1
2684245,757.3
2690015,739.25
2695346,695.85
2701341,705.2
2707508,706.65
2713143,729.75
2717989,711.75
2722851,682.6
2728790,672.4
2734049,654.85
2739330,658.4
2745529,715.85
2750815,702.0
2756826,728.95
2761674,727.55
2767966,715.4
2773545,711.55
2779084,690.1
2784822,698.65
2790208,693.9
2795542,677.9
2800831,690.3
2805643,668.45
2811001,659.85
2816256,672.0
2821417,655.15
2826100,644.95
2831438,649.1
2836816,642.05
2842820,685.95
2848190,698.65
2853617,703.05
2859169,700.0
2865163,713.25
2870530,722.9
2876003,729.85
2881927,733.05
2886730,706.2
2892453,725.95
